api_uri,congress,dw_nominate,gender,id,name,party,seniority
https://api.propublica.org/congress/v1/members/K000384.json,113,-0.234,M,K000384,Tim Kaine,D,1
https://api.propublica.org/congress/v1/members/K000148.json,113,,M,K000148,John Kerry,D,29
https://api.propublica.org/congress/v1/members/K000383.json,113,-0.15,M,K000383,Angus King,I,1
https://api.propublica.org/congress/v1/members/K000360.json,113,0.274,M,K000360,Mark Kirk,R,5
https://api.propublica.org/congress/v1/members/K000367.json,113,-0.244,F,K000367,Amy Klobuchar,D,7
https://api.propublica.org/congress/v1/members/L000550.json,113,-0.203,F,L000550,Mary Landrieu,D,17
https://api.propublica.org/congress/v1/members/L000123.json,113,-0.382,M,L000123,Frank Lautenberg,D,29
https://api.propublica.org/congress/v1/members/L000174.json,113,-0.371,M,L000174,Patrick Leahy,D,39
https://api.propublica.org/congress/v1/members/L000577.json,113,0.924,M,L000577,Mike Lee,R,3
https://api.propublica.org/congress/v1/members/L000261.json,113,-0.395,M,L000261,Carl Levin,D,35
https://api.propublica.org/congress/v1/members/M001183.json,113,-0.058,M,M001183,Joe Manchin,D,5
https://api.propublica.org/congress/v1/members/M000133.json,113,-0.577,M,M000133,Edward Markey,D,1
https://api.propublica.org/congress/v1/members/M000303.json,113,0.381,M,M000303,John McCain,R,27
https://api.propublica.org/congress/v1/members/M001170.json,113,-0.144,F,M001170,Claire McCaskill,D,7
https://api.propublica.org/congress/v1/members/M000355.json,113,0.404,M,M000355,Mitch McConnell,R,29
https://api.propublica.org/congress/v1/members/M000639.json,113,-0.362,M,M000639,Robert Menendez,D,8
https://api.propublica.org/congress/v1/members/M001176.json,113,-0.477,M,M001176,Jeff Merkley,D,5
https://api.propublica.org/congress/v1/members/M000702.json,113,-0.37,F,M000702,Barbara Mikulski,D,27
https://api.propublica.org/congress/v1/members/M000934.json,113,0.414,M,M000934,Jerry Moran,R,3
https://api.propublica.org/congress/v1/members/M001153.json,113,0.207,F,M001153,Lisa Murkowski,R,13
https://api.propublica.org/congress/v1/members/M001169.json,113,-0.308,M,M001169,Christopher Murphy,D,1
https://api.propublica.org/congress/v1/members/M001111.json,113,-0.343,F,M001111,Patty Murray,D,21
https://api.propublica.org/congress/v1/members/N000032.json,113,-0.193,M,N000032,Bill Nelson,D,13
https://api.propublica.org/congress/v1/members/P000603.json,113,0.873,M,P000603,Rand Paul,R,3
https://api.propublica.org/congress/v1/members/P000449.json,113,0.374,M,P000449,Rob Portman,R,3
https://api.propublica.org/congress/v1/members/P000590.json,113,-0.199,M,P000590,Mark Pryor,D,11
https://api.propublica.org/congress/v1/members/R000122.json,113,-0.382,M,R000122,Jack Reed,D,17
https://api.propublica.org/congress/v1/members/R000146.json,113,-0.276,M,R000146,Harry Reid,D,27
https://api.propublica.org/congress/v1/members/R000584.json,113,0.635,M,R000584,Jim Risch,R,5
https://api.propublica.org/congress/v1/members/R000307.json,113,0.414,M,R000307,Pat Roberts,R,17
https://api.propublica.org/congress/v1/members/R000361.json,113,-0.326,M,R000361,John Rockefeller,D,29
https://api.propublica.org/congress/v1/members/R000595.json,113,0.583,M,R000595,Marco Rubio,R,3
https://api.propublica.org/congress/v1/members/S000033.json,113,-0.518,M,S000033,Bernard Sanders,I,7
https://api.propublica.org/congress/v1/members/S001194.json,113,-0.401,M,S001194,Brian Schatz,D,1
https://api.propublica.org/congress/v1/members/S000148.json,113,-0.351,M,S000148,Charles Schumer,D,15
https://api.propublica.org/congress/v1/members/S001184.json,113,0.655,M,S001184,Tim Scott,R,1
https://api.propublica.org/congress/v1/members/S001141.json,113,0.549,M,S001141,Jeff Sessions,R,17
https://api.propublica.org/congress/v1/members/S001181.json,113,-0.257,F,S001181,Jeanne Shaheen,D,5
https://api.propublica.org/congress/v1/members/S000320.json,113,0.623,M,S000320,Richard Shelby,R,27
https://api.propublica.org/congress/v1/members/S000770.json,113,-0.328,F,S000770,Debbie Stabenow,D,13
https://api.propublica.org/congress/v1/members/T000464.json,113,-0.213,M,T000464,Jon Tester,D,7
https://api.propublica.org/congress/v1/members/T000250.json,113,0.409,M,T000250,John Thune,R,9
https://api.propublica.org/congress/v1/members/T000461.json,113,0.632,M,T000461,Patrick Toomey,R,3
