congress,date,democrats_no,democrats_yes,independent_no,independent_yes,month,republican_no,republican_yes,result,total_no,total_not_voting,total_yes,vote_type,vote_uri,year
107,2001-05-23,38,12,0,0,5,0,50,Passed,38,0,62,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/165.json,2001
107,2001-05-23,1,49,0,0,5,1,49,Agreed to,2,0,98,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/164.json,2001
107,2001-05-23,4,46,0,0,5,50,0,Rejected,54,0,46,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/163.json,2001
107,2001-05-23,4,46,0,0,5,49,1,Rejected,53,0,47,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/162.json,2001
107,2001-05-23,50,0,0,0,5,1,49,Rejected,51,0,49,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/161.json,2001
107,2001-05-23,4,46,0,0,5,50,0,Rejected,54,0,46,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/160.json,2001
107,2001-05-23,0,50,0,0,5,4,44,Agreed to,4,2,94,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/159.json,2001
107,2001-05-22,9,40,0,0,5,48,2,Rejected,57,1,42,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/158.json,2001
107,2001-05-22,6,43,0,0,5,50,0,Rejected,56,1,43,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/157.json,2001
107,2001-05-22,10,39,0,0,5,50,0,Rejected,60,1,39,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/156.json,2001
107,2001-05-22,6,43,0,0,5,50,0,Rejected,56,1,43,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/155.json,2001
107,2001-05-22,4,45,0,0,5,50,0,Rejected,54,1,45,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/154.json,2001
107,2001-05-22,4,45,0,0,5,50,0,Rejected,54,1,45,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/153.json,2001
107,2001-05-22,5,44,0,0,5,50,0,Rejected,55,1,44,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/152.json,2001
107,2001-05-22,7,42,0,0,5,50,0,Rejected,57,1,42,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/151.json,2001
107,2001-05-22,7,42,0,0,5,50,0,Rejected,57,1,42,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/150.json,2001
107,2001-05-22,4,46,0,0,5,46,4,Rejected,50,0,50,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/149.json,2001
107,2001-05-22,2,48,0,0,5,48,1,Rejected,50,1,49,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/148.json,2001
107,2001-05-22,9,41,0,0,5,49,0,Rejected,58,1,41,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/147.json,2001
107,2001-05-22,2,48,0,0,5,41,7,Rejected,43,2,55,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/146.json,2001
107,2001-05-22,9,41,0,0,5,48,0,Rejected,57,2,41,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/145.json,2001
107,2001-05-22,9,41,0,0,5,49,0,Rejected,58,1,41,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/144.json,2001
107,2001-05-22,8,41,0,0,5,47,2,Rejected,55,2,43,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/143.json,2001
107,2001-05-22,5,45,0,0,5,47,2,Rejected,52,1,47,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/1/votes/142.json,2001
